asn,degree
201535,33
202023,33
50448,33
14551,33
7782,33
50622,33
200052,33
201791,33
23944,33
56308,33
59469,33
11271,33
27724,33
28198,33
28287,33
28323,33
52941,33
52981,33
262676,33
262865,33
263297,33
263478,33
265187,33
265399,33
19855,33
206356,33
9790,33
38794,33
6421,33
6703,33
41039,33
29329,32
10835,32
7992,32
18678,32
20565,32
32354,32
33517,32
132602,32
7497,32
12453,32
48719,32
12625,32
50072,32
133372,32
202189,32
23686,32
2529,32
6660,32
21351,32
34624,32
1741,32
22177,32
26609,32
28169,32
28279,32
28299,32
28327,32
28667,32
52613,32
52866,32
53162,32
53184,32
53224,32
262503,32
262505,32
262607,32
262696,32
262949,32
262993,32
263151,32
263625,32
264202,32
265933,32
6846,32
33808,32
22909,32
37084,32
4768,32
63516,32
4787,32
12406,32
6736,32
21508,32
29465,32
803,31
8002,31
12180,31
21928,31
51050,31
51159,31
63242,31
63541,31
9829,31
51531,31
6509,31
48092,31
855,31
15378,31
15493,31
21453,31
16080,31
202169,31
1213,31
21099,31
23930,31
135069,31
21548,31
2688,31
11338,31
28166,31
28258,31
28267,31
28284,31
28309,31
28573,31
28576,31
28657,31
52531,31
52662,31
52696,31
52862,31
53018,31
53080,31
53085,31
53142,31
53178,31
61637,31
61666,31
61813,31
262296,31
262394,31
262417,31
262428,31
262561,31
262720,31
262743,31
262765,31
262785,31
262807,31
262822,31
262868,31
262971,31
262988,31
263042,31
263445,31
263536,31
263546,31
263626,31
263655,31
264437,31
264959,31
265339,31
49009,31
198967,31
15497,31
24589,31
5384,31
53767,30
22335,30
62642,30
6922,30
10578,30
15836,30
24088,30
26801,30
43668,30
44902,30
46450,30
62887,30
197219,30
14589,30
41268,30
12958,30
39087,30
10848,30
42707,30
56088,30
196983,30
17444,30
11644,30
28135,30
28187,30
28201,30
28239,30
28330,30
28364,30
28370,30
28604,30
28640,30
52547,30
52666,30
52721,30
52736,30
52777,30
52971,30
53029,30
53037,30
53048,30
53053,30
53112,30
53131,30
53133,30
53143,30
53191,30
53246,30
262288,30
262374,30
262532,30
262545,30
262605,30
262669,30
262704,30
263411,30
263434,30
263541,30
263567,30
263985,30
264281,30
265181,30
265436,30
21485,30
44974,30
201764,30
6517,30
9821,30
9457,30
5488,30
6799,30
9905,30
24626,30
61889,30
81,29
6315,29
7979,29
18779,29
23033,29
33154,29
35706,29
35908,29
38726,29
39216,29
44684,29
52937,29
58299,29
262206,29
3300,29
10490,29
1541,29
6853,29
8779,29
198826,29
29404,29
41330,29
9808,29
52888,29
49770,29
42000,29
45204,29
8501,29
6505,29
7048,29
23074,29
23105,29
28125,29
28171,29
28257,29
28294,29
28300,29
28349,29
28352,29
28638,29
52532,29
52614,29
52630,29
52689,29
52836,29
52901,29
52936,29
53097,29
53138,29
53185,29
53199,29
61582,29
61583,29
61586,29
61910,29
262273,29
262287,29
262427,29
262444,29
262502,29
262517,29
262606,29
262749,29
262794,29
262828,29
262834,29
262862,29
262880,29
262901,29
263032,29
263270,29
263329,29
263394,29
263432,29
263649,29
264033,29
264200,29
264460,29
264485,29
265100,29
265184,29
266167,29
266194,29
266602,29
16876,29
17477,29
9534,29
12491,29
12593,29
24955,29
9723,29
4618,29
60330,29
7693,29
12831,29
17762,29
4558,28
24534,28
28773,28
29802,28
31877,28
40788,28
43833,28
7539,28
23666,28
39410,28
42104,28
43660,28
50289,28
41691,28
23404,28
20144,28
199422,28
13576,28
39153,28
1653,28
8055,28
22085,28
28132,28
28207,28
28211,28
28229,28
28264,28
28276,28
28308,28
28328,28
28331,28
28654,28
28668,28
52683,28
52686,28
52780,28
52967,28
53052,28
53106,28
53111,28
53122,28
53132,28
53140,28
53152,28
53169,28
53175,28
53238,28
53240,28
61758,28
61784,28
61806,28
262388,28
262456,28
262463,28
262588,28
262664,28
262715,28
262734,28
262766,28
262784,28
262792,28
262818,28
262819,28
262977,28
262979,28
263015,28
263035,28
263086,28
263099,28
263324,28
263460,28
263527,28
263531,28
263650,28
263855,28
264127,28
264244,28
264367,28
264417,28
264580,28
264969,28
265110,28
265131,28
265308,28
265388,28
266302,28
267544,28
13329,28
10021,28
6679,28
16083,28
31376,28
7784,28
15994,28
38456,28
38731,28
58656,28
40805,27
31034,27
10297,27
17113,27
20810,27
30990,27
39405,27
43646,27
668,27
14041,27
376,27
13184,27
43994,27
196798,27
62432,27
27066,27
21947,27
35788,27
52890,27
262755,27
3605,27
13046,27
18351,27
25248,27
32743,27
197068,27
10362,27
14463,27
14571,27
28127,27
28156,27
28204,27
28218,27
28254,27
28277,27
28280,27
28305,27
28307,27
28311,27
28334,27
28588,27
28590,27
28591,27
52550,27
52570,27
52604,27
52664,27
52669,27
52691,27
52697,27
52813,27
52877,27
52952,27
53008,27
53020,27
53025,27
53054,27
53066,27
53075,27
53086,27
53090,27
53102,27
53130,27
53135,27
53165,27
53196,27
53208,27
53209,27
53218,27
53230,27
61584,27
61672,27
61683,27
61719,27
61873,27
61888,27
61928,27
262282,27
262301,27
262302,27
262323,27
262344,27
262363,27
262408,27
262424,27
262429,27
262496,27
262501,27
262516,27
262540,27
262546,27
